Current value: 2.0553092530795505, Current params: {'LEARNING_RATE': 0.00672840806366021, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.03940544658527254, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8187292468010201, 'DAMPENING': 0.12323487835766778, 'GAMMA': 0.5087137304059719, 'STEP_SIZE': 33, 'USE_AUGMIX': False, 'SEVERITY': 10, 'MIXTURE_WIDTH': 2, 'CHAIN_DEPTH': 6, 'ALPHA': 0.013434438185660258, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 146, 'ETA': 0.6006706959199674, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 4, 'MAX_GRID_SIZE': 6, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}
     Best value: 2.0553092530795505, Best params: {'LEARNING_RATE': 0.00672840806366021, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.03940544658527254, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8187292468010201, 'DAMPENING': 0.12323487835766778, 'GAMMA': 0.5087137304059719, 'STEP_SIZE': 33, 'USE_AUGMIX': False, 'SEVERITY': 10, 'MIXTURE_WIDTH': 2, 'CHAIN_DEPTH': 6, 'ALPHA': 0.013434438185660258, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 146, 'ETA': 0.6006706959199674, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 4, 'MAX_GRID_SIZE': 6, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}

#####################################################
Current value: 1.8974312714168005, Current params: {'LEARNING_RATE': 0.004809935552608587, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.002692024378169056, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.591272608117116, 'DAMPENING': 0.059487015566388, 'GAMMA': 0.16376027468253895, 'STEP_SIZE': 6, 'USE_AUGMIX': False, 'SEVERITY': 5, 'MIXTURE_WIDTH': 8, 'CHAIN_DEPTH': 3, 'ALPHA': 0.12388118467243525, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 19, 'ETA': 0.8262771794850566, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 3, 'MAX_GRID_SIZE': 10, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}
     Best value: 1.8974312714168005, Best params: {'LEARNING_RATE': 0.004809935552608587, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.002692024378169056, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.591272608117116, 'DAMPENING': 0.059487015566388, 'GAMMA': 0.16376027468253895, 'STEP_SIZE': 6, 'USE_AUGMIX': False, 'SEVERITY': 5, 'MIXTURE_WIDTH': 8, 'CHAIN_DEPTH': 3, 'ALPHA': 0.12388118467243525, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 19, 'ETA': 0.8262771794850566, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 3, 'MAX_GRID_SIZE': 10, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}

#####################################################
Current value: 2.2932585052081516, Current params: {'LEARNING_RATE': 0.0004279900237977185, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.08259385162718817, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.7620666724517806, 'DAMPENING': 0.046554176707817585, 'GAMMA': 0.4475777405945547, 'STEP_SIZE': 35, 'USE_AUGMIX': True, 'SEVERITY': 3, 'MIXTURE_WIDTH': 7, 'CHAIN_DEPTH': 7, 'ALPHA': 0.4385486706604722, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 27, 'ETA': 0.760314536636867, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 3, 'MAX_GRID_SIZE': 13, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Dlow,Fourier,Jigsaw'}
     Best value: 1.8974312714168005, Best params: {'LEARNING_RATE': 0.004809935552608587, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.002692024378169056, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.591272608117116, 'DAMPENING': 0.059487015566388, 'GAMMA': 0.16376027468253895, 'STEP_SIZE': 6, 'USE_AUGMIX': False, 'SEVERITY': 5, 'MIXTURE_WIDTH': 8, 'CHAIN_DEPTH': 3, 'ALPHA': 0.12388118467243525, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 19, 'ETA': 0.8262771794850566, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 3, 'MAX_GRID_SIZE': 10, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}

#####################################################
Current value: 1.965903946331569, Current params: {'LEARNING_RATE': 0.007712273847268932, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.07505801838305666, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8942231531353739, 'DAMPENING': 0.17559777047608494, 'GAMMA': 0.41949864829460337, 'STEP_SIZE': 32, 'USE_AUGMIX': True, 'SEVERITY': 4, 'MIXTURE_WIDTH': 2, 'CHAIN_DEPTH': 10, 'ALPHA': 0.7113742495697805, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 142, 'ETA': 0.7436001447561196, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 4, 'MAX_GRID_SIZE': 6, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Dlow,Augmix,Fourier,Jigsaw'}
