Current value: 1.157484199319567, Current params: {'LEARNING_RATE': 0.0006706239609164347, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.09507403363959421, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8673671677681687, 'DAMPENING': 0.12823175394902353, 'GAMMA': 0.513904486190461, 'STEP_SIZE': 36}
     Best value: 1.157484199319567, Best params: {'LEARNING_RATE': 0.0006706239609164347, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.09507403363959421, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8673671677681687, 'DAMPENING': 0.12823175394902353, 'GAMMA': 0.513904486190461, 'STEP_SIZE': 36}

#####################################################
Current value: 2.1988236904144287, Current params: {'LEARNING_RATE': 0.001126583935480208, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.0381291732075367, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'None', 'MOMENTUM': 0.5923543232723872, 'DAMPENING': 0.14854349805811157, 'GAMMA': 0.8011579132820795, 'STEP_SIZE': 49}
     Best value: 1.157484199319567, Best params: {'LEARNING_RATE': 0.0006706239609164347, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.09507403363959421, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8673671677681687, 'DAMPENING': 0.12823175394902353, 'GAMMA': 0.513904486190461, 'STEP_SIZE': 36}

#####################################################
Current value: 0.7767224482127598, Current params: {'LEARNING_RATE': 0.002557567374372777, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.07034324478606413, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.8396102673832919, 'DAMPENING': 0.08857773044748761, 'GAMMA': 0.44604027963769155, 'STEP_SIZE': 27}
     Best value: 0.7767224482127598, Best params: {'LEARNING_RATE': 0.002557567374372777, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.07034324478606413, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.8396102673832919, 'DAMPENING': 0.08857773044748761, 'GAMMA': 0.44604027963769155, 'STEP_SIZE': 27}

#####################################################
Current value: 2.461394054549081, Current params: {'LEARNING_RATE': 0.007352734468950231, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.01665879962217001, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.8765390693591584, 'DAMPENING': 0.12318055568783476, 'GAMMA': 0.465759019345098, 'STEP_SIZE': 37}
     Best value: 0.7767224482127598, Best params: {'LEARNING_RATE': 0.002557567374372777, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.07034324478606413, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.8396102673832919, 'DAMPENING': 0.08857773044748761, 'GAMMA': 0.44604027963769155, 'STEP_SIZE': 27}

#####################################################
Current value: 1.0887891863073622, Current params: {'LEARNING_RATE': 0.00814012050659237, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.041191327932421674, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6581517378920054, 'DAMPENING': 0.1926634173162618, 'GAMMA': 0.11684625431091647, 'STEP_SIZE': 17}
     Best value: 0.7767224482127598, Best params: {'LEARNING_RATE': 0.002557567374372777, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.07034324478606413, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.8396102673832919, 'DAMPENING': 0.08857773044748761, 'GAMMA': 0.44604027963769155, 'STEP_SIZE': 27}

#####################################################
Current value: 2.4917106117521013, Current params: {'LEARNING_RATE': 0.007854639984869021, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.06471527921987329, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'None', 'MOMENTUM': 0.551630892698949, 'DAMPENING': 0.13517514485487414, 'GAMMA': 0.37481685059403635, 'STEP_SIZE': 45}
     Best value: 0.7767224482127598, Best params: {'LEARNING_RATE': 0.002557567374372777, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.07034324478606413, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.8396102673832919, 'DAMPENING': 0.08857773044748761, 'GAMMA': 0.44604027963769155, 'STEP_SIZE': 27}

#####################################################
Current value: 0.9460771807602474, Current params: {'LEARNING_RATE': 0.007592518853953751, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.09744918398566121, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.6030442448613533, 'DAMPENING': 0.005618124722099416, 'GAMMA': 0.1504633501679413, 'STEP_SIZE': 37}
     Best value: 0.7767224482127598, Best params: {'LEARNING_RATE': 0.002557567374372777, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.07034324478606413, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.8396102673832919, 'DAMPENING': 0.08857773044748761, 'GAMMA': 0.44604027963769155, 'STEP_SIZE': 27}

#####################################################
Current value: 0.7916165632861001, Current params: {'LEARNING_RATE': 0.0050250888863045415, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.013391322698946495, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6840027012951619, 'DAMPENING': 0.1110766400771966, 'GAMMA': 0.6388138291746129, 'STEP_SIZE': 29}
     Best value: 0.7767224482127598, Best params: {'LEARNING_RATE': 0.002557567374372777, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.07034324478606413, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.8396102673832919, 'DAMPENING': 0.08857773044748761, 'GAMMA': 0.44604027963769155, 'STEP_SIZE': 27}

#####################################################
Current value: 2.304899684020451, Current params: {'LEARNING_RATE': 0.006748207862757256, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.04692903001977072, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.7578324482859069, 'DAMPENING': 0.14183975172997512, 'GAMMA': 0.7555112195403314, 'STEP_SIZE': 13}
     Best value: 0.7767224482127598, Best params: {'LEARNING_RATE': 0.002557567374372777, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.07034324478606413, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.8396102673832919, 'DAMPENING': 0.08857773044748761, 'GAMMA': 0.44604027963769155, 'STEP_SIZE': 27}

#####################################################
Current value: 2.5310758778027127, Current params: {'LEARNING_RATE': 0.0081431880443656, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.039092806626832746, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'None', 'MOMENTUM': 0.5473761241245434, 'DAMPENING': 0.02149267890331219, 'GAMMA': 0.22041374749396622, 'STEP_SIZE': 25}
     Best value: 0.7767224482127598, Best params: {'LEARNING_RATE': 0.002557567374372777, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.07034324478606413, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.8396102673832919, 'DAMPENING': 0.08857773044748761, 'GAMMA': 0.44604027963769155, 'STEP_SIZE': 27}

#####################################################
Current value: 0.8754204618079322, Current params: {'LEARNING_RATE': 0.0030473417418489133, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.07258788671618922, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8091324531339354, 'DAMPENING': 0.05946521024242398, 'GAMMA': 0.32034480662862863, 'STEP_SIZE': 5}
     Best value: 0.7767224482127598, Best params: {'LEARNING_RATE': 0.002557567374372777, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.07034324478606413, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.8396102673832919, 'DAMPENING': 0.08857773044748761, 'GAMMA': 0.44604027963769155, 'STEP_SIZE': 27}

#####################################################
Current value: 0.7416720922504153, Current params: {'LEARNING_RATE': 0.003560989626399084, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.011952775834108417, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7141362290925046, 'DAMPENING': 0.07624347204330735, 'GAMMA': 0.6011775105797543, 'STEP_SIZE': 26}
     Best value: 0.7416720922504153, Best params: {'LEARNING_RATE': 0.003560989626399084, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.011952775834108417, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7141362290925046, 'DAMPENING': 0.07624347204330735, 'GAMMA': 0.6011775105797543, 'STEP_SIZE': 26}

#####################################################
Current value: 0.9700874664953777, Current params: {'LEARNING_RATE': 0.0033297787502959302, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.0011980397404630222, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7728696533682686, 'DAMPENING': 0.06965226307715548, 'GAMMA': 0.5989414827944801, 'STEP_SIZE': 23}
     Best value: 0.7416720922504153, Best params: {'LEARNING_RATE': 0.003560989626399084, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.011952775834108417, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7141362290925046, 'DAMPENING': 0.07624347204330735, 'GAMMA': 0.6011775105797543, 'STEP_SIZE': 26}

#####################################################
Current value: 0.8332415521144867, Current params: {'LEARNING_RATE': 0.003383371841669811, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.07021093854031482, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7233565529190231, 'DAMPENING': 0.07753037343345898, 'GAMMA': 0.8914270003651306, 'STEP_SIZE': 30}
     Best value: 0.7416720922504153, Best params: {'LEARNING_RATE': 0.003560989626399084, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.011952775834108417, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7141362290925046, 'DAMPENING': 0.07624347204330735, 'GAMMA': 0.6011775105797543, 'STEP_SIZE': 26}

#####################################################
Current value: 0.8438549212047032, Current params: {'LEARNING_RATE': 0.005051426406325368, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.05749426295323318, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.8054114359154411, 'DAMPENING': 0.03932931775105251, 'GAMMA': 0.6316799471898518, 'STEP_SIZE': 18}
     Best value: 0.7416720922504153, Best params: {'LEARNING_RATE': 0.003560989626399084, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.011952775834108417, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7141362290925046, 'DAMPENING': 0.07624347204330735, 'GAMMA': 0.6011775105797543, 'STEP_SIZE': 26}

#####################################################
