Current value: 1.9519433890070235, Current params: {'LEARNING_RATE': 0.008965728157805983, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.07073668272961549, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7937380582094307, 'DAMPENING': 0.1478795572458428, 'GAMMA': 0.18237684858118258, 'STEP_SIZE': 44, 'USE_AUGMIX': True, 'SEVERITY': 10, 'MIXTURE_WIDTH': 4, 'CHAIN_DEPTH': 7, 'ALPHA': 0.2903258962744202, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 202, 'ETA': 0.9550928336796748, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 9, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Augmix,Dlow,Jigsaw'}
     Best value: 1.9519433890070235, Best params: {'LEARNING_RATE': 0.008965728157805983, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.07073668272961549, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7937380582094307, 'DAMPENING': 0.1478795572458428, 'GAMMA': 0.18237684858118258, 'STEP_SIZE': 44, 'USE_AUGMIX': True, 'SEVERITY': 10, 'MIXTURE_WIDTH': 4, 'CHAIN_DEPTH': 7, 'ALPHA': 0.2903258962744202, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 202, 'ETA': 0.9550928336796748, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 9, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Augmix,Dlow,Jigsaw'}

#####################################################
Current value: 2.219200841018132, Current params: {'LEARNING_RATE': 0.004794176052449704, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.02427420107313201, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7303985397278103, 'DAMPENING': 0.10852884660069864, 'GAMMA': 0.6893898479379336, 'STEP_SIZE': 26, 'USE_AUGMIX': True, 'SEVERITY': 9, 'MIXTURE_WIDTH': 9, 'CHAIN_DEPTH': 2, 'ALPHA': 0.7793457063481178, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 224, 'ETA': 0.4660889472907772, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 6, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Augmix,Dlow,Fourier,Jigsaw'}
     Best value: 1.9519433890070235, Best params: {'LEARNING_RATE': 0.008965728157805983, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.07073668272961549, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7937380582094307, 'DAMPENING': 0.1478795572458428, 'GAMMA': 0.18237684858118258, 'STEP_SIZE': 44, 'USE_AUGMIX': True, 'SEVERITY': 10, 'MIXTURE_WIDTH': 4, 'CHAIN_DEPTH': 7, 'ALPHA': 0.2903258962744202, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 202, 'ETA': 0.9550928336796748, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 9, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Augmix,Dlow,Jigsaw'}

#####################################################
Current value: 1.834128201007843, Current params: {'LEARNING_RATE': 0.0035221567167281497, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.0530879783622411, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8012689760423474, 'DAMPENING': 0.03036734681285587, 'GAMMA': 0.15086180209962824, 'STEP_SIZE': 5, 'USE_AUGMIX': True, 'SEVERITY': 7, 'MIXTURE_WIDTH': 10, 'CHAIN_DEPTH': 10, 'ALPHA': 0.9046294868181761, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 132, 'ETA': 0.42512950459232735, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 4, 'MAX_GRID_SIZE': 8, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}
     Best value: 1.834128201007843, Best params: {'LEARNING_RATE': 0.0035221567167281497, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.0530879783622411, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8012689760423474, 'DAMPENING': 0.03036734681285587, 'GAMMA': 0.15086180209962824, 'STEP_SIZE': 5, 'USE_AUGMIX': True, 'SEVERITY': 7, 'MIXTURE_WIDTH': 10, 'CHAIN_DEPTH': 10, 'ALPHA': 0.9046294868181761, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 132, 'ETA': 0.42512950459232735, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 4, 'MAX_GRID_SIZE': 8, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}

#####################################################
Current value: 1.8935798747198922, Current params: {'LEARNING_RATE': 0.005298187711557197, 'BETA_1': 0.8, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.08690951421212761, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7294440257581194, 'DAMPENING': 0.03960245992135419, 'GAMMA': 0.5016661636685067, 'STEP_SIZE': 11, 'USE_AUGMIX': False, 'SEVERITY': 7, 'MIXTURE_WIDTH': 9, 'CHAIN_DEPTH': 6, 'ALPHA': 0.5615427256680875, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 3, 'ETA': 0.217559239181357, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 3, 'MAX_GRID_SIZE': 11, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}
     Best value: 1.834128201007843, Best params: {'LEARNING_RATE': 0.0035221567167281497, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.0530879783622411, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8012689760423474, 'DAMPENING': 0.03036734681285587, 'GAMMA': 0.15086180209962824, 'STEP_SIZE': 5, 'USE_AUGMIX': True, 'SEVERITY': 7, 'MIXTURE_WIDTH': 10, 'CHAIN_DEPTH': 10, 'ALPHA': 0.9046294868181761, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 132, 'ETA': 0.42512950459232735, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 4, 'MAX_GRID_SIZE': 8, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}

#####################################################
Current value: 1.7025356122425623, Current params: {'LEARNING_RATE': 0.009450927898667609, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.02554838885881393, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.8978580298578576, 'DAMPENING': 0.19079330204994943, 'GAMMA': 0.2834660504228145, 'STEP_SIZE': 26, 'USE_AUGMIX': False, 'SEVERITY': 7, 'MIXTURE_WIDTH': 4, 'CHAIN_DEPTH': 8, 'ALPHA': 0.5782620827166532, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 205, 'ETA': 0.19939008140994618, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 10, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}
     Best value: 1.7025356122425623, Best params: {'LEARNING_RATE': 0.009450927898667609, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.02554838885881393, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.8978580298578576, 'DAMPENING': 0.19079330204994943, 'GAMMA': 0.2834660504228145, 'STEP_SIZE': 26, 'USE_AUGMIX': False, 'SEVERITY': 7, 'MIXTURE_WIDTH': 4, 'CHAIN_DEPTH': 8, 'ALPHA': 0.5782620827166532, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 205, 'ETA': 0.19939008140994618, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 10, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}

#####################################################
