Current value: 1.7968356779643468, Current params: {'LEARNING_RATE': 0.010134516791603449, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.0917175525587922, 'BATCH_SIZE': 256}
     Best value: 1.7968356779643468, Best params: {'LEARNING_RATE': 0.010134516791603449, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.0917175525587922, 'BATCH_SIZE': 256}

#####################################################
Current value: 1.2672874331474304, Current params: {'LEARNING_RATE': 0.0019194360040431947, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.00671169887238855, 'BATCH_SIZE': 64}
     Best value: 1.2672874331474304, Best params: {'LEARNING_RATE': 0.0019194360040431947, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.00671169887238855, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.8160862071173531, Current params: {'LEARNING_RATE': 0.014438471910751998, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.09172902264118367, 'BATCH_SIZE': 128}
     Best value: 1.2672874331474304, Best params: {'LEARNING_RATE': 0.0019194360040431947, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.00671169887238855, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.8465905359813146, Current params: {'LEARNING_RATE': 0.06519124859023294, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.01446838931201696, 'BATCH_SIZE': 128}
     Best value: 1.2672874331474304, Best params: {'LEARNING_RATE': 0.0019194360040431947, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.00671169887238855, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.9019401250062165, Current params: {'LEARNING_RATE': 0.0909316145543672, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.0993395294414865, 'BATCH_SIZE': 64}
     Best value: 1.2672874331474304, Best params: {'LEARNING_RATE': 0.0019194360040431947, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.00671169887238855, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.8393619912011283, Current params: {'LEARNING_RATE': 0.04264257933876024, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.04685606347692337, 'BATCH_SIZE': 256}
     Best value: 1.2672874331474304, Best params: {'LEARNING_RATE': 0.0019194360040431947, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.00671169887238855, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.829421785642516, Current params: {'LEARNING_RATE': 0.0280435829092337, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.00712498551499029, 'BATCH_SIZE': 32}
     Best value: 1.2672874331474304, Best params: {'LEARNING_RATE': 0.0019194360040431947, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.00671169887238855, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.8835592099598475, Current params: {'LEARNING_RATE': 0.023513142725726736, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.0947296820959834, 'BATCH_SIZE': 128}
     Best value: 1.2672874331474304, Best params: {'LEARNING_RATE': 0.0019194360040431947, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.00671169887238855, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.9005066701344082, Current params: {'LEARNING_RATE': 0.08213833992837384, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.0211041756709509, 'BATCH_SIZE': 16}
     Best value: 1.2672874331474304, Best params: {'LEARNING_RATE': 0.0019194360040431947, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.00671169887238855, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.8973940385962433, Current params: {'LEARNING_RATE': 0.04770236175418408, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.09188018357997396, 'BATCH_SIZE': 32}
