Current value: 1.9328875541687012, Current params: {'LEARNING_RATE': 0.008610579175246214, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.003525627304539325, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.6368882917678121, 'DAMPENING': 0.08330612713273677, 'GAMMA': 0.7667012724668416, 'STEP_SIZE': 7, 'USE_AUGMIX': False, 'SEVERITY': 7, 'MIXTURE_WIDTH': 9, 'CHAIN_DEPTH': 1, 'ALPHA': 0.3705457007170051, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 196, 'ETA': 0.0317062238988951, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 9, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}
     Best value: 1.9328875541687012, Best params: {'LEARNING_RATE': 0.008610579175246214, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.003525627304539325, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.6368882917678121, 'DAMPENING': 0.08330612713273677, 'GAMMA': 0.7667012724668416, 'STEP_SIZE': 7, 'USE_AUGMIX': False, 'SEVERITY': 7, 'MIXTURE_WIDTH': 9, 'CHAIN_DEPTH': 1, 'ALPHA': 0.3705457007170051, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 196, 'ETA': 0.0317062238988951, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 9, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}

#####################################################
Current value: 1.8610460541465066, Current params: {'LEARNING_RATE': 0.002819040182532151, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.03138501203008861, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.5115493503598346, 'DAMPENING': 0.17453626330931948, 'GAMMA': 0.5856477275790766, 'STEP_SIZE': 29, 'USE_AUGMIX': False, 'SEVERITY': 6, 'MIXTURE_WIDTH': 5, 'CHAIN_DEPTH': 2, 'ALPHA': 0.4137155973371591, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 201, 'ETA': 0.04039670611445623, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 10, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}
     Best value: 1.8610460541465066, Best params: {'LEARNING_RATE': 0.002819040182532151, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.03138501203008861, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.5115493503598346, 'DAMPENING': 0.17453626330931948, 'GAMMA': 0.5856477275790766, 'STEP_SIZE': 29, 'USE_AUGMIX': False, 'SEVERITY': 6, 'MIXTURE_WIDTH': 5, 'CHAIN_DEPTH': 2, 'ALPHA': 0.4137155973371591, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 201, 'ETA': 0.04039670611445623, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 10, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}

#####################################################
Current value: 1.8607457659461282, Current params: {'LEARNING_RATE': 0.0029219374985726167, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.05804455527621462, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.7966443091101845, 'DAMPENING': 0.06936455498613928, 'GAMMA': 0.3118622928635049, 'STEP_SIZE': 6, 'USE_AUGMIX': True, 'SEVERITY': 1, 'MIXTURE_WIDTH': 2, 'CHAIN_DEPTH': 3, 'ALPHA': 0.5522618268336739, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 116, 'ETA': 0.4946448251401777, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 4, 'MAX_GRID_SIZE': 6, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}
     Best value: 1.8607457659461282, Best params: {'LEARNING_RATE': 0.0029219374985726167, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.05804455527621462, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.7966443091101845, 'DAMPENING': 0.06936455498613928, 'GAMMA': 0.3118622928635049, 'STEP_SIZE': 6, 'USE_AUGMIX': True, 'SEVERITY': 1, 'MIXTURE_WIDTH': 2, 'CHAIN_DEPTH': 3, 'ALPHA': 0.5522618268336739, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 116, 'ETA': 0.4946448251401777, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 4, 'MAX_GRID_SIZE': 6, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}

