Current value: 1.9212648291741647, Current params: {'LEARNING_RATE': 0.01914953445666783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.06597197351829259, 'BATCH_SIZE': 64}
     Best value: 1.9212648291741647, Best params: {'LEARNING_RATE': 0.01914953445666783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.06597197351829259, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.9153939601851673, Current params: {'LEARNING_RATE': 0.023412962578844145, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.056874212202011054, 'BATCH_SIZE': 32}
     Best value: 1.9153939601851673, Best params: {'LEARNING_RATE': 0.023412962578844145, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.056874212202011054, 'BATCH_SIZE': 32}

#####################################################
Current value: 1.933864503856597, Current params: {'LEARNING_RATE': 0.07307292129098693, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.015869259614746712, 'BATCH_SIZE': 16}
     Best value: 1.9153939601851673, Best params: {'LEARNING_RATE': 0.023412962578844145, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.056874212202011054, 'BATCH_SIZE': 32}

#####################################################
Current value: 1.9221866033910735, Current params: {'LEARNING_RATE': 0.0160360702069706, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.09009582518153682, 'BATCH_SIZE': 16}
     Best value: 1.9153939601851673, Best params: {'LEARNING_RATE': 0.023412962578844145, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.056874212202011054, 'BATCH_SIZE': 32}

#####################################################
Current value: 1.9074414410898763, Current params: {'LEARNING_RATE': 0.08565291208262381, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.03362079711349645, 'BATCH_SIZE': 64}
     Best value: 1.9074414410898763, Best params: {'LEARNING_RATE': 0.08565291208262381, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.03362079711349645, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.9350563057007328, Current params: {'LEARNING_RATE': 0.010730928715053026, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.05100447355788854, 'BATCH_SIZE': 64}
     Best value: 1.9074414410898763, Best params: {'LEARNING_RATE': 0.08565291208262381, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.03362079711349645, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.905849076086475, Current params: {'LEARNING_RATE': 0.06523764361298601, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.03504268462126162, 'BATCH_SIZE': 128}
     Best value: 1.905849076086475, Best params: {'LEARNING_RATE': 0.06523764361298601, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.03504268462126162, 'BATCH_SIZE': 128}

#####################################################
Current value: 1.9260119122843589, Current params: {'LEARNING_RATE': 0.02977984281200305, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.09790654892843614, 'BATCH_SIZE': 128}
     Best value: 1.905849076086475, Best params: {'LEARNING_RATE': 0.06523764361298601, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.03504268462126162, 'BATCH_SIZE': 128}

#####################################################
Current value: 1.90922188374304, Current params: {'LEARNING_RATE': 0.09516735526843577, 'BETA_1': 0.8, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.023271065768425928, 'BATCH_SIZE': 64}
     Best value: 1.905849076086475, Best params: {'LEARNING_RATE': 0.06523764361298601, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.03504268462126162, 'BATCH_SIZE': 128}

#####################################################
Current value: 1.8738258427720729, Current params: {'LEARNING_RATE': 0.031807355813275026, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.0647054193204507, 'BATCH_SIZE': 16}
     Best value: 1.8738258427720729, Best params: {'LEARNING_RATE': 0.031807355813275026, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.0647054193204507, 'BATCH_SIZE': 16}

#####################################################
Current value: 1.8284165635704994, Current params: {'LEARNING_RATE': 0.044930612932957636, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.0007445772882032492, 'BATCH_SIZE': 256}
     Best value: 1.8284165635704994, Best params: {'LEARNING_RATE': 0.044930612932957636, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.0007445772882032492, 'BATCH_SIZE': 256}

#####################################################
Current value: 1.966295100748539, Current params: {'LEARNING_RATE': 0.045808024401499385, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.0011763700034809076, 'BATCH_SIZE': 256}
     Best value: 1.8284165635704994, Best params: {'LEARNING_RATE': 0.044930612932957636, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.0007445772882032492, 'BATCH_SIZE': 256}

#####################################################
Current value: 1.9282106012105942, Current params: {'LEARNING_RATE': 0.04472164080231206, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07492458658468223, 'BATCH_SIZE': 256}
     Best value: 1.8284165635704994, Best params: {'LEARNING_RATE': 0.044930612932957636, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.0007445772882032492, 'BATCH_SIZE': 256}

#####################################################
Current value: 1.9352557435631752, Current params: {'LEARNING_RATE': 0.03481483045287827, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.0780558272914112, 'BATCH_SIZE': 256}
     Best value: 1.8284165635704994, Best params: {'LEARNING_RATE': 0.044930612932957636, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.0007445772882032492, 'BATCH_SIZE': 256}

#####################################################
Current value: 1.8332121813200353, Current params: {'LEARNING_RATE': 0.001097308770617221, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.038284901251673734, 'BATCH_SIZE': 16}
     Best value: 1.8284165635704994, Best params: {'LEARNING_RATE': 0.044930612932957636, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.0007445772882032492, 'BATCH_SIZE': 256}

#####################################################
Current value: 1.568316523621722, Current params: {'LEARNING_RATE': 0.003621252146522397, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.0011714637844697222, 'BATCH_SIZE': 32}
     Best value: 1.568316523621722, Best params: {'LEARNING_RATE': 0.003621252146522397, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.0011714637844697222, 'BATCH_SIZE': 32}

#####################################################
Current value: 1.8200119094150822, Current params: {'LEARNING_RATE': 0.06574850080068194, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.0024682810447721132, 'BATCH_SIZE': 32}
     Best value: 1.568316523621722, Best params: {'LEARNING_RATE': 0.003621252146522397, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.0011714637844697222, 'BATCH_SIZE': 32}

#####################################################
Current value: 1.9085333463622303, Current params: {'LEARNING_RATE': 0.05872950979994577, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.0162478904877014, 'BATCH_SIZE': 32}
     Best value: 1.568316523621722, Best params: {'LEARNING_RATE': 0.003621252146522397, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.0011714637844697222, 'BATCH_SIZE': 32}

#####################################################
Current value: 1.944473817096493, Current params: {'LEARNING_RATE': 0.07391769033974113, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.009942216251778596, 'BATCH_SIZE': 32}
     Best value: 1.568316523621722, Best params: {'LEARNING_RATE': 0.003621252146522397, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.0011714637844697222, 'BATCH_SIZE': 32}

#####################################################
Current value: 1.9132493996038669, Current params: {'LEARNING_RATE': 0.05721672772591614, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.022725434197297813, 'BATCH_SIZE': 32}
     Best value: 1.568316523621722, Best params: {'LEARNING_RATE': 0.003621252146522397, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.0011714637844697222, 'BATCH_SIZE': 32}

#####################################################
Current value: 1.5780878726059828, Current params: {'LEARNING_RATE': 0.002418611004414567, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.010408812658517225, 'BATCH_SIZE': 32}
     Best value: 1.568316523621722, Best params: {'LEARNING_RATE': 0.003621252146522397, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.0011714637844697222, 'BATCH_SIZE': 32}

#####################################################
Current value: 1.5099636626437427, Current params: {'LEARNING_RATE': 0.0011032843534510423, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.007392464729468799, 'BATCH_SIZE': 32}
     Best value: 1.5099636626437427, Best params: {'LEARNING_RATE': 0.0011032843534510423, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.007392464729468799, 'BATCH_SIZE': 32}

#####################################################
Current value: 1.4899045606938803, Current params: {'LEARNING_RATE': 0.00046779973698364173, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.011096284475663144, 'BATCH_SIZE': 32}
     Best value: 1.4899045606938803, Best params: {'LEARNING_RATE': 0.00046779973698364173, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.011096284475663144, 'BATCH_SIZE': 32}

#####################################################
Current value: 1.892124689691435, Current params: {'LEARNING_RATE': 0.011028950386112644, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.02763977299276121, 'BATCH_SIZE': 32}
     Best value: 1.4899045606938803, Best params: {'LEARNING_RATE': 0.00046779973698364173, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.011096284475663144, 'BATCH_SIZE': 32}

#####################################################
Current value: 1.9136423531586562, Current params: {'LEARNING_RATE': 0.006979071646697574, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.01179516552740166, 'BATCH_SIZE': 32}
     Best value: 1.4899045606938803, Best params: {'LEARNING_RATE': 0.00046779973698364173, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.011096284475663144, 'BATCH_SIZE': 32}

#####################################################
Current value: 1.4569259823822394, Current params: {'LEARNING_RATE': 0.0002980179332776154, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.0405483832264514, 'BATCH_SIZE': 32}
     Best value: 1.4569259823822394, Best params: {'LEARNING_RATE': 0.0002980179332776154, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.0405483832264514, 'BATCH_SIZE': 32}

#####################################################
Current value: 1.9204886182536924, Current params: {'LEARNING_RATE': 0.021836816027367537, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.04455319756106804, 'BATCH_SIZE': 32}
     Best value: 1.4569259823822394, Best params: {'LEARNING_RATE': 0.0002980179332776154, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.0405483832264514, 'BATCH_SIZE': 32}

#####################################################
