Current value: 1.8990436058778029, Current params: {'LEARNING_RATE': 0.008393873388984419, 'BETA_1': 0.8, 'BETA_2': 0.99, 'BATCH_SIZE': 128, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.6696524609693644, 'DAMPENING': 0.0025168528562740547, 'GAMMA': 0.40314291297317695, 'STEP_SIZE': 48}
     Best value: 1.8990436058778029, Best params: {'LEARNING_RATE': 0.008393873388984419, 'BETA_1': 0.8, 'BETA_2': 0.99, 'BATCH_SIZE': 128, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.6696524609693644, 'DAMPENING': 0.0025168528562740547, 'GAMMA': 0.40314291297317695, 'STEP_SIZE': 48}

#####################################################
Current value: 1.8712375116348268, Current params: {'LEARNING_RATE': 0.0013400171004798909, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.839059395345328, 'DAMPENING': 0.03502511638141277, 'GAMMA': 0.4482347162891879, 'STEP_SIZE': 28}
     Best value: 1.8712375116348268, Best params: {'LEARNING_RATE': 0.0013400171004798909, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.839059395345328, 'DAMPENING': 0.03502511638141277, 'GAMMA': 0.4482347162891879, 'STEP_SIZE': 28}

#####################################################
Current value: 1.7991356941369863, Current params: {'LEARNING_RATE': 0.0019466566485669922, 'BETA_1': 0.8, 'BETA_2': 0.999, 'BATCH_SIZE': 128, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.8508953397402592, 'DAMPENING': 0.09266863117089458, 'GAMMA': 0.8676845446443624, 'STEP_SIZE': 31}
     Best value: 1.7991356941369863, Best params: {'LEARNING_RATE': 0.0019466566485669922, 'BETA_1': 0.8, 'BETA_2': 0.999, 'BATCH_SIZE': 128, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.8508953397402592, 'DAMPENING': 0.09266863117089458, 'GAMMA': 0.8676845446443624, 'STEP_SIZE': 31}

#####################################################
