Current value: 1.805274145943778, Current params: {'LEARNING_RATE': 0.000998959508133048, 'BETA_1': 0.95, 'BETA_2': 0.999, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7949962283590672, 'DAMPENING': 0.1953830944366441, 'GAMMA': 0.19437324522566257, 'STEP_SIZE': 11}
     Best value: 1.805274145943778, Best params: {'LEARNING_RATE': 0.000998959508133048, 'BETA_1': 0.95, 'BETA_2': 0.999, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7949962283590672, 'DAMPENING': 0.1953830944366441, 'GAMMA': 0.19437324522566257, 'STEP_SIZE': 11}

#####################################################
Current value: 1.6170175933837891, Current params: {'LEARNING_RATE': 0.0017948899351641792, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 64, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.524307966332345, 'DAMPENING': 0.0573160371077063, 'GAMMA': 0.8307322165932554, 'STEP_SIZE': 26}
     Best value: 1.6170175933837891, Best params: {'LEARNING_RATE': 0.0017948899351641792, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 64, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.524307966332345, 'DAMPENING': 0.0573160371077063, 'GAMMA': 0.8307322165932554, 'STEP_SIZE': 26}

#####################################################
Current value: 2.0521729542658877, Current params: {'LEARNING_RATE': 0.0032902943109727723, 'BETA_1': 0.8, 'BETA_2': 0.999, 'BATCH_SIZE': 128, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.713192133886351, 'DAMPENING': 0.12239158284029124, 'GAMMA': 0.5655622812932147, 'STEP_SIZE': 47}
     Best value: 1.6170175933837891, Best params: {'LEARNING_RATE': 0.0017948899351641792, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 64, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.524307966332345, 'DAMPENING': 0.0573160371077063, 'GAMMA': 0.8307322165932554, 'STEP_SIZE': 26}

#####################################################
