Current value: 2.096297879219055, Current params: {'LEARNING_RATE': 0.0008884186069550642, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07164505502585765, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.790958011323706, 'DAMPENING': 0.19439955758804606, 'GAMMA': 0.28813180242407654, 'STEP_SIZE': 11, 'USE_AUGMIX': False, 'SEVERITY': 3, 'MIXTURE_WIDTH': 8, 'CHAIN_DEPTH': 5, 'ALPHA': 0.7762222122746847, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 11, 'ETA': 0.6250665726315516, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 3, 'MAX_GRID_SIZE': 14, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Augmix,Dlow,Jigsaw'}
     Best value: 2.096297879219055, Best params: {'LEARNING_RATE': 0.0008884186069550642, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07164505502585765, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.790958011323706, 'DAMPENING': 0.19439955758804606, 'GAMMA': 0.28813180242407654, 'STEP_SIZE': 11, 'USE_AUGMIX': False, 'SEVERITY': 3, 'MIXTURE_WIDTH': 8, 'CHAIN_DEPTH': 5, 'ALPHA': 0.7762222122746847, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 11, 'ETA': 0.6250665726315516, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 3, 'MAX_GRID_SIZE': 14, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Augmix,Dlow,Jigsaw'}

#####################################################
Current value: 2.5982133674621584, Current params: {'LEARNING_RATE': 0.004350383696626583, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.014090116388085938, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.776475322359119, 'DAMPENING': 0.09172904116110395, 'GAMMA': 0.4919358501339137, 'STEP_SIZE': 32, 'USE_AUGMIX': True, 'SEVERITY': 7, 'MIXTURE_WIDTH': 9, 'CHAIN_DEPTH': 1, 'ALPHA': 0.8239940104907638, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 130, 'ETA': 0.7871527408701142, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 4, 'MAX_GRID_SIZE': 7, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}
     Best value: 2.096297879219055, Best params: {'LEARNING_RATE': 0.0008884186069550642, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07164505502585765, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.790958011323706, 'DAMPENING': 0.19439955758804606, 'GAMMA': 0.28813180242407654, 'STEP_SIZE': 11, 'USE_AUGMIX': False, 'SEVERITY': 3, 'MIXTURE_WIDTH': 8, 'CHAIN_DEPTH': 5, 'ALPHA': 0.7762222122746847, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 11, 'ETA': 0.6250665726315516, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 3, 'MAX_GRID_SIZE': 14, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Augmix,Dlow,Jigsaw'}

#####################################################
Current value: 1.852827272415161, Current params: {'LEARNING_RATE': 0.009992184107029225, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.012289869929339538, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6575836424317639, 'DAMPENING': 0.06094613055640352, 'GAMMA': 0.4484374285082773, 'STEP_SIZE': 23, 'USE_AUGMIX': False, 'SEVERITY': 8, 'MIXTURE_WIDTH': 9, 'CHAIN_DEPTH': 2, 'ALPHA': 0.9383955607971024, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 158, 'ETA': 0.3447275014729376, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 8, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}
     Best value: 1.852827272415161, Best params: {'LEARNING_RATE': 0.009992184107029225, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.012289869929339538, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6575836424317639, 'DAMPENING': 0.06094613055640352, 'GAMMA': 0.4484374285082773, 'STEP_SIZE': 23, 'USE_AUGMIX': False, 'SEVERITY': 8, 'MIXTURE_WIDTH': 9, 'CHAIN_DEPTH': 2, 'ALPHA': 0.9383955607971024, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 158, 'ETA': 0.3447275014729376, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 8, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}

