Current value: 2.191666543483734, Current params: {'LEARNING_RATE': 0.0035568816652944675, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.05322472300033415, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.7132133446619195, 'DAMPENING': 0.1340714714523234, 'GAMMA': 0.6796262702315875, 'STEP_SIZE': 15}
     Best value: 2.191666543483734, Best params: {'LEARNING_RATE': 0.0035568816652944675, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.05322472300033415, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.7132133446619195, 'DAMPENING': 0.1340714714523234, 'GAMMA': 0.6796262702315875, 'STEP_SIZE': 15}

#####################################################
Current value: 2.5264430131231035, Current params: {'LEARNING_RATE': 0.0022376804310501163, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.027734974678208592, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.5390268027874553, 'DAMPENING': 0.015933797693356257, 'GAMMA': 0.5331623517701797, 'STEP_SIZE': 27}
     Best value: 2.191666543483734, Best params: {'LEARNING_RATE': 0.0035568816652944675, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.05322472300033415, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.7132133446619195, 'DAMPENING': 0.1340714714523234, 'GAMMA': 0.6796262702315875, 'STEP_SIZE': 15}

#####################################################
Current value: 1.9376245481627328, Current params: {'LEARNING_RATE': 0.004441528765814494, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.05863085172845093, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8088957740666353, 'DAMPENING': 0.12398943250859547, 'GAMMA': 0.34266961989579753, 'STEP_SIZE': 47}
     Best value: 1.9376245481627328, Best params: {'LEARNING_RATE': 0.004441528765814494, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.05863085172845093, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8088957740666353, 'DAMPENING': 0.12398943250859547, 'GAMMA': 0.34266961989579753, 'STEP_SIZE': 47}

#####################################################
Current value: 2.849087255341666, Current params: {'LEARNING_RATE': 0.0019029650278573776, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.015612156757905294, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.8329700466741525, 'DAMPENING': 0.10897031151237145, 'GAMMA': 0.6324473358554819, 'STEP_SIZE': 19}
     Best value: 1.9376245481627328, Best params: {'LEARNING_RATE': 0.004441528765814494, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.05863085172845093, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8088957740666353, 'DAMPENING': 0.12398943250859547, 'GAMMA': 0.34266961989579753, 'STEP_SIZE': 47}

#####################################################
Current value: 2.1612667441368103, Current params: {'LEARNING_RATE': 0.0035021669879455267, 'BETA_1': 0.8, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.09120984197524847, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.7592150715041885, 'DAMPENING': 0.11569034919757498, 'GAMMA': 0.40048687566212215, 'STEP_SIZE': 33}
