Current value: 2.696522822380066, Current params: {'LEARNING_RATE': 0.00808468636872148, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.00040624356934053645, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8874610635901794, 'DAMPENING': 0.15819133465789445, 'GAMMA': 0.17667775893415616, 'STEP_SIZE': 44, 'USE_AUGMIX': True, 'SEVERITY': 9, 'MIXTURE_WIDTH': 4, 'CHAIN_DEPTH': 7, 'ALPHA': 0.25075372510733496, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 116, 'ETA': 0.14809384181546015, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 11, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}
     Best value: 2.696522822380066, Best params: {'LEARNING_RATE': 0.00808468636872148, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.00040624356934053645, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8874610635901794, 'DAMPENING': 0.15819133465789445, 'GAMMA': 0.17667775893415616, 'STEP_SIZE': 44, 'USE_AUGMIX': True, 'SEVERITY': 9, 'MIXTURE_WIDTH': 4, 'CHAIN_DEPTH': 7, 'ALPHA': 0.25075372510733496, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 116, 'ETA': 0.14809384181546015, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 11, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}

#####################################################
Current value: 2.0099457263946534, Current params: {'LEARNING_RATE': 0.009450633183704643, 'BETA_1': 0.8, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.06596270702443283, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.8244266235184541, 'DAMPENING': 0.06905487140133378, 'GAMMA': 0.26214460358046354, 'STEP_SIZE': 24, 'USE_AUGMIX': False, 'SEVERITY': 7, 'MIXTURE_WIDTH': 3, 'CHAIN_DEPTH': 3, 'ALPHA': 0.5778619469014522, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 63, 'ETA': 0.8397893647601874, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 9, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Augmix,Dlow,Jigsaw'}
     Best value: 2.0099457263946534, Best params: {'LEARNING_RATE': 0.009450633183704643, 'BETA_1': 0.8, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.06596270702443283, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.8244266235184541, 'DAMPENING': 0.06905487140133378, 'GAMMA': 0.26214460358046354, 'STEP_SIZE': 24, 'USE_AUGMIX': False, 'SEVERITY': 7, 'MIXTURE_WIDTH': 3, 'CHAIN_DEPTH': 3, 'ALPHA': 0.5778619469014522, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 63, 'ETA': 0.8397893647601874, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 9, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Augmix,Dlow,Jigsaw'}

#####################################################
Current value: 2.1117596340179445, Current params: {'LEARNING_RATE': 0.005629652000403409, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.0226884957830523, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.5151155511136833, 'DAMPENING': 0.1561001308663626, 'GAMMA': 0.7762539230150093, 'STEP_SIZE': 13, 'USE_AUGMIX': False, 'SEVERITY': 3, 'MIXTURE_WIDTH': 2, 'CHAIN_DEPTH': 3, 'ALPHA': 0.05633702592790368, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 162, 'ETA': 0.12466824295996026, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 6, 'MAX_GRID_SIZE': 15, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}
     Best value: 2.0099457263946534, Best params: {'LEARNING_RATE': 0.009450633183704643, 'BETA_1': 0.8, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.06596270702443283, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.8244266235184541, 'DAMPENING': 0.06905487140133378, 'GAMMA': 0.26214460358046354, 'STEP_SIZE': 24, 'USE_AUGMIX': False, 'SEVERITY': 7, 'MIXTURE_WIDTH': 3, 'CHAIN_DEPTH': 3, 'ALPHA': 0.5778619469014522, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 63, 'ETA': 0.8397893647601874, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 9, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Augmix,Dlow,Jigsaw'}

