Current value: 0.39083239529281855, Current params: {'LEARNING_RATE': 0.0005896896592412092, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.042429711812908825, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6471398743998914, 'DAMPENING': 0.0023522561222731222, 'GAMMA': 0.13979564745885797, 'STEP_SIZE': 28, 'USE_AUGMIX': True, 'SEVERITY': 6, 'MIXTURE_WIDTH': 10, 'CHAIN_DEPTH': 3, 'ALPHA': 0.016630203397900112, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 222, 'ETA': 0.12973080520309144, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 11, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}
     Best value: 0.39083239529281855, Best params: {'LEARNING_RATE': 0.0005896896592412092, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.042429711812908825, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6471398743998914, 'DAMPENING': 0.0023522561222731222, 'GAMMA': 0.13979564745885797, 'STEP_SIZE': 28, 'USE_AUGMIX': True, 'SEVERITY': 6, 'MIXTURE_WIDTH': 10, 'CHAIN_DEPTH': 3, 'ALPHA': 0.016630203397900112, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 222, 'ETA': 0.12973080520309144, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 11, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}

#####################################################
Current value: 0.6544397454708815, Current params: {'LEARNING_RATE': 0.0058649775470211345, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.04183910505964289, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.6770034179249038, 'DAMPENING': 0.1551465829335931, 'GAMMA': 0.2762205387960516, 'STEP_SIZE': 12, 'USE_AUGMIX': False, 'SEVERITY': 2, 'MIXTURE_WIDTH': 9, 'CHAIN_DEPTH': 8, 'ALPHA': 0.5473055458869875, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 174, 'ETA': 0.9395623972141602, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 10, 'TRANSFORMATIONS_ORDER': 'Dlow,Augmix,Fourier,Jigsaw'}
     Best value: 0.39083239529281855, Best params: {'LEARNING_RATE': 0.0005896896592412092, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.042429711812908825, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6471398743998914, 'DAMPENING': 0.0023522561222731222, 'GAMMA': 0.13979564745885797, 'STEP_SIZE': 28, 'USE_AUGMIX': True, 'SEVERITY': 6, 'MIXTURE_WIDTH': 10, 'CHAIN_DEPTH': 3, 'ALPHA': 0.016630203397900112, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 222, 'ETA': 0.12973080520309144, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 11, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}

#####################################################
Current value: 0.4422916155308485, Current params: {'LEARNING_RATE': 0.004495890961163013, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.008883907842331895, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.560273413117211, 'DAMPENING': 0.0006515433229461021, 'GAMMA': 0.2181491491084512, 'STEP_SIZE': 30, 'USE_AUGMIX': True, 'SEVERITY': 1, 'MIXTURE_WIDTH': 7, 'CHAIN_DEPTH': 4, 'ALPHA': 0.8970190424597446, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 16, 'ETA': 0.4835452636194463, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 13, 'TRANSFORMATIONS_ORDER': 'Dlow,Augmix,Fourier,Jigsaw'}
     Best value: 0.39083239529281855, Best params: {'LEARNING_RATE': 0.0005896896592412092, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.042429711812908825, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6471398743998914, 'DAMPENING': 0.0023522561222731222, 'GAMMA': 0.13979564745885797, 'STEP_SIZE': 28, 'USE_AUGMIX': True, 'SEVERITY': 6, 'MIXTURE_WIDTH': 10, 'CHAIN_DEPTH': 3, 'ALPHA': 0.016630203397900112, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 222, 'ETA': 0.12973080520309144, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 11, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}

