Current value: 0.49608441069722176, Current params: {'LEARNING_RATE': 0.008507449263200647, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07243700246037688, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8930541705835154, 'DAMPENING': 0.07640161202265112, 'GAMMA': 0.6596035716229712, 'STEP_SIZE': 19, 'USE_AUGMIX': False, 'SEVERITY': 5, 'MIXTURE_WIDTH': 1, 'CHAIN_DEPTH': 2, 'ALPHA': 0.3897294930508074, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 212, 'ETA': 0.49282000522751557, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 3, 'MAX_GRID_SIZE': 9, 'TRANSFORMATIONS_ORDER': 'Augmix,Dlow,Fourier,Jigsaw'}
     Best value: 0.49608441069722176, Best params: {'LEARNING_RATE': 0.008507449263200647, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07243700246037688, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8930541705835154, 'DAMPENING': 0.07640161202265112, 'GAMMA': 0.6596035716229712, 'STEP_SIZE': 19, 'USE_AUGMIX': False, 'SEVERITY': 5, 'MIXTURE_WIDTH': 1, 'CHAIN_DEPTH': 2, 'ALPHA': 0.3897294930508074, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 212, 'ETA': 0.49282000522751557, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 3, 'MAX_GRID_SIZE': 9, 'TRANSFORMATIONS_ORDER': 'Augmix,Dlow,Fourier,Jigsaw'}

#####################################################
Current value: 0.38236763421446085, Current params: {'LEARNING_RATE': 0.004547890034295835, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.03471351568901988, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.6311662963833975, 'DAMPENING': 0.016446238796156143, 'GAMMA': 0.8807834063107793, 'STEP_SIZE': 48, 'USE_AUGMIX': False, 'SEVERITY': 1, 'MIXTURE_WIDTH': 6, 'CHAIN_DEPTH': 10, 'ALPHA': 0.6030446195627384, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 100, 'ETA': 0.2973087789541553, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 8, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}
     Best value: 0.38236763421446085, Best params: {'LEARNING_RATE': 0.004547890034295835, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.03471351568901988, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.6311662963833975, 'DAMPENING': 0.016446238796156143, 'GAMMA': 0.8807834063107793, 'STEP_SIZE': 48, 'USE_AUGMIX': False, 'SEVERITY': 1, 'MIXTURE_WIDTH': 6, 'CHAIN_DEPTH': 10, 'ALPHA': 0.6030446195627384, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 100, 'ETA': 0.2973087789541553, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 8, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}

#####################################################
Current value: 0.4209164585918188, Current params: {'LEARNING_RATE': 0.004573217297978578, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07247469583969254, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.79328902086258, 'DAMPENING': 0.0072004220739129154, 'GAMMA': 0.5311645961351056, 'STEP_SIZE': 5, 'USE_AUGMIX': True, 'SEVERITY': 5, 'MIXTURE_WIDTH': 9, 'CHAIN_DEPTH': 1, 'ALPHA': 0.9330427960971437, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 193, 'ETA': 0.9883271122220927, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 3, 'MAX_GRID_SIZE': 9, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}
     Best value: 0.38236763421446085, Best params: {'LEARNING_RATE': 0.004547890034295835, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.03471351568901988, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.6311662963833975, 'DAMPENING': 0.016446238796156143, 'GAMMA': 0.8807834063107793, 'STEP_SIZE': 48, 'USE_AUGMIX': False, 'SEVERITY': 1, 'MIXTURE_WIDTH': 6, 'CHAIN_DEPTH': 10, 'ALPHA': 0.6030446195627384, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 100, 'ETA': 0.2973087789541553, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 8, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}

#####################################################
