Val set other domain


Current value: 2.1217241883277893, Current params: {'LEARNING_RATE': 0.006086689259736397, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.0685082686911135, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'None', 'MOMENTUM': 0.8811920447349986, 'DAMPENING': 0.13904566794399645, 'GAMMA': 0.6485756373448985, 'STEP_SIZE': 26}
     Best value: 2.1217241883277893, Best params: {'LEARNING_RATE': 0.006086689259736397, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.0685082686911135, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'None', 'MOMENTUM': 0.8811920447349986, 'DAMPENING': 0.13904566794399645, 'GAMMA': 0.6485756373448985, 'STEP_SIZE': 26}

#####################################################
Current value: 1.979310281574726, Current params: {'LEARNING_RATE': 0.005808597812614569, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.08325677392715022, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.599042624918247, 'DAMPENING': 0.11064003883237268, 'GAMMA': 0.503703507679019, 'STEP_SIZE': 8}
     Best value: 1.979310281574726, Best params: {'LEARNING_RATE': 0.005808597812614569, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.08325677392715022, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.599042624918247, 'DAMPENING': 0.11064003883237268, 'GAMMA': 0.503703507679019, 'STEP_SIZE': 8}

#####################################################
Current value: 2.013383038341999, Current params: {'LEARNING_RATE': 0.005398761785632945, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.06511507634943998, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8254035553253671, 'DAMPENING': 0.17531195333587285, 'GAMMA': 0.813957922566633, 'STEP_SIZE': 5}
     Best value: 1.979310281574726, Best params: {'LEARNING_RATE': 0.005808597812614569, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.08325677392715022, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.599042624918247, 'DAMPENING': 0.11064003883237268, 'GAMMA': 0.503703507679019, 'STEP_SIZE': 8}

#####################################################
Current value: 2.0306038670241833, Current params: {'LEARNING_RATE': 0.0017641704422298688, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.0017837785842743426, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.6716270834316258, 'DAMPENING': 0.003807147640218989, 'GAMMA': 0.11829063652010348, 'STEP_SIZE': 32}
     Best value: 1.979310281574726, Best params: {'LEARNING_RATE': 0.005808597812614569, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.08325677392715022, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.599042624918247, 'DAMPENING': 0.11064003883237268, 'GAMMA': 0.503703507679019, 'STEP_SIZE': 8}

#####################################################
Current value: 1.8690780401229858, Current params: {'LEARNING_RATE': 0.00724740231133752, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.06450645191040953, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.5739986590621813, 'DAMPENING': 0.08071592361233178, 'GAMMA': 0.5767713618707279, 'STEP_SIZE': 39}
