Current value: 1.977986067533493, Current params: {'LEARNING_RATE': 0.0051401320716617524, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.08316091240176493, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7049659365749656, 'DAMPENING': 0.07493422883881871, 'GAMMA': 0.1323767328406742, 'STEP_SIZE': 15, 'USE_AUGMIX': True, 'SEVERITY': 3, 'MIXTURE_WIDTH': 7, 'CHAIN_DEPTH': 6, 'ALPHA': 0.9267421064534407, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 136, 'ETA': 0.25277606339217007, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 9, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Dlow,Augmix,Fourier,Jigsaw'}
     Best value: 1.977986067533493, Best params: {'LEARNING_RATE': 0.0051401320716617524, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.08316091240176493, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7049659365749656, 'DAMPENING': 0.07493422883881871, 'GAMMA': 0.1323767328406742, 'STEP_SIZE': 15, 'USE_AUGMIX': True, 'SEVERITY': 3, 'MIXTURE_WIDTH': 7, 'CHAIN_DEPTH': 6, 'ALPHA': 0.9267421064534407, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 136, 'ETA': 0.25277606339217007, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 9, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Dlow,Augmix,Fourier,Jigsaw'}

#####################################################
Current value: 2.44638042896986, Current params: {'LEARNING_RATE': 0.007930406030550684, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.00239499322394825, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.7896973569485339, 'DAMPENING': 0.025496144681436975, 'GAMMA': 0.13447241331656112, 'STEP_SIZE': 18, 'USE_AUGMIX': False, 'SEVERITY': 4, 'MIXTURE_WIDTH': 10, 'CHAIN_DEPTH': 9, 'ALPHA': 0.5986102769117013, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 148, 'ETA': 0.0362214401726233, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 4, 'MAX_GRID_SIZE': 13, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}
     Best value: 1.977986067533493, Best params: {'LEARNING_RATE': 0.0051401320716617524, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.08316091240176493, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7049659365749656, 'DAMPENING': 0.07493422883881871, 'GAMMA': 0.1323767328406742, 'STEP_SIZE': 15, 'USE_AUGMIX': True, 'SEVERITY': 3, 'MIXTURE_WIDTH': 7, 'CHAIN_DEPTH': 6, 'ALPHA': 0.9267421064534407, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 136, 'ETA': 0.25277606339217007, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 9, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Dlow,Augmix,Fourier,Jigsaw'}

#####################################################
Current value: 2.796305201947689, Current params: {'LEARNING_RATE': 0.0031238139607103342, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.08407920379226073, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.5684271984965727, 'DAMPENING': 0.017489058714384553, 'GAMMA': 0.13383213094794588, 'STEP_SIZE': 33, 'USE_AUGMIX': False, 'SEVERITY': 2, 'MIXTURE_WIDTH': 7, 'CHAIN_DEPTH': 10, 'ALPHA': 0.6442514094572153, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 190, 'ETA': 0.9825707051295198, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 4, 'MAX_GRID_SIZE': 13, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}
     Best value: 1.977986067533493, Best params: {'LEARNING_RATE': 0.0051401320716617524, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.08316091240176493, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7049659365749656, 'DAMPENING': 0.07493422883881871, 'GAMMA': 0.1323767328406742, 'STEP_SIZE': 15, 'USE_AUGMIX': True, 'SEVERITY': 3, 'MIXTURE_WIDTH': 7, 'CHAIN_DEPTH': 6, 'ALPHA': 0.9267421064534407, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 136, 'ETA': 0.25277606339217007, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 9, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Dlow,Augmix,Fourier,Jigsaw'}

