Current value: 0.9388412364891597, Current params: {'LEARNING_RATE': 0.0031819499576779867, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.09638769720401373, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8707757929661166, 'DAMPENING': 0.018597775005819894, 'GAMMA': 0.3693210887933801, 'STEP_SIZE': 18}
     Best value: 0.9388412364891597, Best params: {'LEARNING_RATE': 0.0031819499576779867, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.09638769720401373, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8707757929661166, 'DAMPENING': 0.018597775005819894, 'GAMMA': 0.3693210887933801, 'STEP_SIZE': 18}

#####################################################
Current value: 2.0180761303220476, Current params: {'LEARNING_RATE': 0.0035926132051972356, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.050777632859590964, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.6002025799024348, 'DAMPENING': 0.08160885078291372, 'GAMMA': 0.17891653251425926, 'STEP_SIZE': 8}
     Best value: 0.9388412364891597, Best params: {'LEARNING_RATE': 0.0031819499576779867, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.09638769720401373, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8707757929661166, 'DAMPENING': 0.018597775005819894, 'GAMMA': 0.3693210887933801, 'STEP_SIZE': 18}

#####################################################
Current value: 2.030009090900421, Current params: {'LEARNING_RATE': 0.005965047471161053, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.03727691905792168, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.7077937769630925, 'DAMPENING': 0.19668319786747018, 'GAMMA': 0.3720180281859783, 'STEP_SIZE': 31}
     Best value: 0.9388412364891597, Best params: {'LEARNING_RATE': 0.0031819499576779867, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.09638769720401373, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8707757929661166, 'DAMPENING': 0.018597775005819894, 'GAMMA': 0.3693210887933801, 'STEP_SIZE': 18}

