,taget_domain,architecture,pretrained,augmented,test_loss,test_accuracy,i
0,sketch,ResNet50,True,False,0.9327285968191256,0.6902519725120896,2
1,photo,ResNet50,False,True,1.2574233289034862,0.47365269461077847,1
2,cartoon,ResNet18,False,True,1.6422332533307977,0.4539249146757679,1
3,art_painting,ResNet50,False,True,1.938288500532508,0.2890625,1
4,cartoon,ResNet50,False,False,1.870785663256774,0.20947098976109216,0
5,sketch,ResNet50,False,False,2.007713246151684,0.19063374904555866,1
6,sketch,ResNet18,True,False,0.9092939605073231,0.6660727920590481,0
7,photo,ResNet50,False,True,1.3804315069936357,0.46706586826347307,0
8,cartoon,ResNet50,True,False,0.7590599634458084,0.7674914675767918,1
9,photo,ResNet50,True,True,0.09669542864386765,0.9640718562874252,1
10,photo,ResNet50,True,False,0.10178902952158649,0.9586826347305389,1
11,sketch,ResNet18,True,False,0.879137423949513,0.6640366505472131,1
12,photo,ResNet50,False,False,1.7238451624816318,0.3335329341317365,0
13,sketch,ResNet18,False,False,2.4124984498915634,0.290913718503436,1
14,cartoon,ResNet18,True,False,0.6976320163623707,0.764505119453925,0
15,sketch,ResNet50,True,True,0.7735300359687185,0.724357342835327,0
16,cartoon,ResNet18,False,False,2.315922015422099,0.2888225255972696,2
17,photo,ResNet50,False,False,1.8831090949616343,0.19221556886227545,3
18,art_painting,ResNet18,True,True,0.5738614532165229,0.81103515625,2
19,sketch,ResNet50,True,True,0.7430642789941493,0.7291931789259354,3
20,art_painting,ResNet50,False,False,1.8295798152685165,0.22216796875,3
21,sketch,ResNet50,True,False,0.7346774797614027,0.7538813947569356,1
22,art_painting,ResNet50,True,True,0.3165002939058468,0.8974609375,1
23,art_painting,ResNet18,False,False,2.711459841579199,0.23974609375,0
24,sketch,ResNet18,False,False,2.0482222927295095,0.29320437770425045,0
25,photo,ResNet50,True,True,0.10119538768282477,0.9676646706586827,0
26,photo,ResNet50,False,True,1.4403808994113274,0.4035928143712575,2
27,photo,ResNet18,True,False,0.14278514625258604,0.9419161676646707,2
28,photo,ResNet50,True,True,0.10061532322247073,0.962874251497006,3
29,sketch,ResNet18,True,True,0.9361242336955496,0.6370577755153983,3
30,art_painting,ResNet50,True,False,0.4342877164017409,0.8544921875,0
31,sketch,ResNet50,False,False,1.9158191273852092,0.08831763807584628,2
