,dataset_name,taget_domain,architecture,augmentations,test_loss,test_accuracy,i,tp,tn,fp,fn,auc-score,pretrained
0,pacs,cartoon,ResNet50,No Augmentations,2.2585260288135425,0.2529863481228669,3,,,,,,False
1,pacs,art_painting,ResNet50,Fourier,1.958069458603859,0.24462890625,2,,,,,,False
2,pacs,art_painting,ResNet18,No Augmentations,2.43343404494226,0.26171875,0,,,,,,False
3,pacs,art_painting,ResNet18,Augmix,2.435233758762479,0.298828125,0,,,,,,False
4,pacs,sketch,ResNet18,Augmix,1.8996217599729213,0.31865614660218883,0,,,,,,False
5,pacs,cartoon,ResNet18,Dlow,1.8509985836776528,0.3212457337883959,2,,,,,,False
6,pacs,art_painting,ResNet18,Augmix and Fourier,1.820199802517891,0.3447265625,3,,,,,,False
7,pacs,art_painting,ResNet18,No Augmentations,2.5497646015137434,0.26611328125,2,,,,,,False
8,pacs,art_painting,ResNet50,Augmix and Fourier,1.8810120839625597,0.2470703125,3,,,,,,False
9,pacs,photo,ResNet18,Augmix,1.4578465122096944,0.48323353293413174,2,,,,,,False
10,pacs,art_painting,ResNet50,Jigsaw,2.6729157380759716,0.20556640625,1,,,,,,False
11,pacs,art_painting,ResNet18,Jigsaw,2.6464971732348204,0.2626953125,2,,,,,,False
12,pacs,art_painting,ResNet50,Augmix,2.5751675069332123,0.25,0,,,,,,False
13,pacs,cartoon,ResNet50,Jigsaw,2.5881791759181665,0.17022184300341298,0,,,,,,False
14,pacs,cartoon,ResNet50,Dlow,2.0451150504318445,0.23592150170648465,0,,,,,,False
15,pacs,cartoon,ResNet18,Dlow,1.978955776304812,0.29223549488054607,1,,,,,,False
16,pacs,sketch,ResNet50,Augmix and Fourier,1.778571627973541,0.2708068210740647,3,,,,,,False
17,pacs,cartoon,ResNet50,Jigsaw,2.7136856414176322,0.1924061433447099,3,,,,,,False
18,pacs,photo,ResNet18,Dlow,1.4445334470496987,0.4281437125748503,3,,,,,,False
19,pacs,art_painting,ResNet18,Augmix and Fourier,1.9237338323146105,0.3056640625,0,,,,,,False
20,pacs,sketch,ResNet18,Augmix,1.9178424695642984,0.3278187834054467,3,,,,,,False
21,pacs,art_painting,ResNet18,Jigsaw,2.6524488274008036,0.2548828125,0,,,,,,False
22,pacs,sketch,ResNet18,Jigsaw,2.206080427983912,0.1628913209468058,0,,,,,,False
23,pacs,art_painting,ResNet18,Augmix,2.319246204569936,0.25537109375,1,,,,,,False
24,pacs,sketch,ResNet50,Dlow,1.7597642032111562,0.3082209213540341,1,,,,,,False
25,pacs,art_painting,ResNet18,Augmix and Fourier,1.9772383160889149,0.30712890625,2,,,,,,False
26,pacs,art_painting,ResNet50,Dlow,2.0272393990308046,0.22998046875,2,,,,,,False
27,pacs,sketch,ResNet50,Dlow,1.674487169195966,0.3133112751336218,2,,,,,,False
28,pacs,art_painting,ResNet18,Dlow,1.9847813807427883,0.26513671875,3,,,,,,False
29,pacs,art_painting,ResNet50,Augmix,2.348064746707678,0.26123046875,2,,,,,,False
30,pacs,photo,ResNet18,Jigsaw,1.7785374758378514,0.3209580838323353,0,,,,,,False
31,pacs,cartoon,ResNet18,Jigsaw,2.603468712922689,0.28924914675767915,3,,,,,,False
32,pacs,cartoon,ResNet18,Fourier,1.5652197341661196,0.3869453924914676,2,,,,,,False
33,pacs,art_painting,ResNet50,Augmix and Fourier,1.8696026932448149,0.26611328125,0,,,,,,False
34,pacs,cartoon,ResNet18,No Augmentations,1.951542084281509,0.3656143344709898,1,,,,,,False
35,pacs,cartoon,ResNet50,No Augmentations,2.100947170644193,0.25554607508532423,1,,,,,,False
36,pacs,sketch,ResNet50,Augmix,1.941335574398196,0.28862305930262155,1,,,,,,False
37,pacs,cartoon,ResNet50,Fourier,1.8583039512505402,0.22098976109215018,2,,,,,,False
38,pacs,cartoon,ResNet50,Fourier,1.827840632683522,0.2380546075085324,0,,,,,,False
39,pacs,sketch,ResNet50,Augmix,1.913077060769244,0.2733519979638585,2,,,,,,False
40,pacs,photo,ResNet50,Jigsaw,1.6711042129768516,0.4029940119760479,0,,,,,,False
41,pacs,cartoon,ResNet50,Augmix,2.3764652948121765,0.26791808873720135,0,,,,,,False
42,pacs,sketch,ResNet50,Fourier,1.7361026827881976,0.2667345380503945,1,,,,,,False
43,pacs,sketch,ResNet18,Fourier,1.6820841727218008,0.3331636548740137,1,,,,,,False
44,pacs,sketch,ResNet18,Fourier,1.8147108535456464,0.2697887503181471,2,,,,,,False
