,target_domain,architecture,pretrained,augmented,test_loss,test_accuracy,i
0,sketch,ResNet18,False,True,1.45277421503532,0.434716212776788,2
1,art_painting,ResNet18,False,True,2.33498717099428,0.23828125,3
2,photo,ResNet18,False,True,1.05724489688873,0.601796407185629,1
3,sketch,ResNet18,False,True,1.31198765834173,0.469839653855943,1
4,art_painting,ResNet18,False,True,2.46627259813249,0.2314453125,0
5,photo,ResNet18,False,True,0.99994181462054,0.611377245508982,2
6,cartoon,ResNet18,False,True,1.49174914811109,0.428754266211604,2
7,photo,ResNet18,False,True,0.996440311647811,0.590419161676647,0
8,art_painting,ResNet18,False,True,2.49062681943178,0.2470703125,2
9,sketch,ResNet18,False,True,1.57195834124961,0.431916518198015,0
10,sketch,ResNet18,False,True,1.6711103669027,0.460167981674726,3
11,cartoon,ResNet18,False,True,1.45437151193619,0.455204778156997,3
12,art_painting,ResNet18,False,True,2.41917794942856,0.2373046875,1
13,photo,ResNet18,False,True,0.849035808500254,0.674251497005988,3
14,cartoon,ResNet18,False,True,1.39491047166489,0.468856655290102,0
15,cartoon,ResNet18,False,True,1.48654551924886,0.428754266211604,1
